pct_employed_head,avg_monthly_income_php,pct_with_access_to_electricity,pct_with_safe_water_access,pct_with_sanitary_toilet,net_enrollment_rate,pct_permanent_house_material,pct_underemployed_or_informal,avg_family_size,pct_completed_secondary_education,income_level
44.9,14075.13,63.85,46.73,59.66,68.54,31.46,43.71,6.29,39.76,Level 2
51.81,19149.02,67.29,52.67,62.48,60.06,43.22,44.4,6.02,32.64,Level 1
66.4,36395.53,90.35,85.22,77.22,96.37,70.78,2.0,5.03,85.23,Level 3
52.64,16969.63,77.01,54.58,48.93,67.93,48.87,41.02,4.52,48.65,Level 1
61.06,27063.18,84.01,58.52,74.09,78.67,37.7,32.31,4.07,83.76,Level 2
57.9,26890.9,70.41,80.67,57.04,81.82,79.57,31.53,4.99,51.5,Level 2
64.61,24611.44,77.17,63.34,83.09,78.57,57.41,31.27,4.7,65.32,Level 2
67.23,27546.06,78.33,79.34,57.73,89.21,52.71,21.24,4.65,52.54,Level 3
56.46,22981.12,80.0,74.64,67.11,71.04,82.18,41.25,5.9,44.02,Level 2
48.19,17131.69,70.18,66.14,62.45,86.64,32.93,45.87,5.08,37.33,Level 1
82.75,34488.72,98.01,91.98,84.63,85.06,81.6,13.77,4.14,62.79,Level 3
66.13,26700.35,73.16,74.03,75.12,80.61,62.5,38.74,5.26,58.82,Level 2
44.77,21278.05,61.52,59.85,74.28,75.38,39.97,46.87,5.62,46.93,Level 1
46.94,16703.12,66.97,54.03,50.71,72.52,30.48,46.3,5.63,56.08,Level 1
62.42,53085.22,82.1,95.85,70.26,89.96,72.76,24.09,4.82,66.01,Level 3
84.33,26744.21,69.85,77.73,75.51,81.73,68.97,25.63,4.41,63.3,Level 3
65.45,25595.38,87.62,72.38,63.1,86.02,66.74,30.97,5.27,62.21,Level 2
31.29,8409.22,58.73,54.96,43.58,65.36,29.65,54.75,5.69,39.79,Level 1
54.81,17924.34,62.46,48.64,61.98,67.26,55.91,42.39,5.97,37.9,Level 1
34.93,7105.33,52.66,56.22,38.04,60.95,16.51,61.23,5.29,14.23,Level 1
60.13,38189.76,76.38,79.52,73.85,88.31,74.88,14.09,5.66,73.52,Level 3
38.34,17670.99,68.28,60.92,47.05,70.39,33.51,46.55,5.72,24.32,Level 1
61.98,26845.49,72.62,71.79,58.91,66.07,58.49,32.56,4.95,33.7,Level 2
62.6,23134.07,75.23,67.34,62.91,89.26,71.17,34.53,4.34,44.52,Level 2
50.91,14200.53,62.4,43.69,46.99,75.52,31.37,55.47,6.7,35.98,Level 1
63.9,35754.11,92.29,97.12,91.82,89.15,79.65,6.65,3.85,65.85,Level 3
40.35,12414.15,64.33,69.19,69.76,73.37,22.49,46.48,6.58,34.17,Level 1
52.31,21499.22,70.38,69.7,54.34,76.08,35.52,45.47,5.67,30.93,Level 1
66.67,32031.02,94.61,81.54,92.03,80.11,63.47,2.0,4.21,66.52,Level 2
48.66,16383.77,66.18,59.25,45.39,70.28,44.29,29.57,4.21,47.04,Level 1
66.01,32964.32,93.14,82.25,77.49,77.47,77.69,31.38,5.36,62.05,Level 3
51.29,20503.77,62.65,71.11,82.45,79.44,40.82,45.14,4.92,47.94,Level 2
58.96,27566.98,76.92,81.75,62.79,80.9,88.21,19.11,5.85,61.43,Level 2
73.27,28039.3,78.74,68.41,73.54,77.19,63.11,26.17,4.03,68.45,Level 2
52.12,15797.31,60.74,64.93,57.84,68.08,25.36,46.32,5.75,23.72,Level 1
66.12,30091.14,86.46,82.54,72.48,94.04,61.4,24.42,5.59,62.15,Level 2
22.28,15659.21,46.0,66.45,49.12,75.03,37.07,53.29,6.99,31.87,Level 1
70.78,29876.85,80.62,81.61,62.38,87.33,63.63,44.81,5.21,74.92,Level 2
20.82,6464.24,56.66,41.44,27.92,73.85,19.39,62.29,5.51,11.69,Level 1
81.65,34443.34,86.9,80.47,92.21,86.64,74.46,28.04,4.29,91.09,Level 3
91.58,34249.92,95.94,84.59,82.13,83.46,92.95,20.11,4.64,67.96,Level 3
66.06,37240.5,84.78,82.06,79.36,92.82,62.87,11.65,5.26,69.24,Level 3
68.81,31318.26,89.43,81.88,84.45,81.97,84.52,23.45,3.89,62.59,Level 2
84.06,38203.99,100.0,90.43,91.1,99.0,96.04,8.54,3.3,82.08,Level 3
64.08,25319.82,65.2,78.2,90.17,74.79,49.11,49.42,4.57,72.6,Level 2
67.7,31767.7,82.86,78.52,84.6,84.03,74.26,29.79,5.54,78.5,Level 3
35.92,14998.94,70.84,41.22,63.1,86.19,28.09,54.82,6.41,49.26,Level 1
88.6,34170.7,82.33,65.34,74.83,86.09,83.55,22.9,5.15,70.0,Level 3
71.16,28685.24,78.98,72.29,72.03,84.06,59.92,23.83,4.56,59.89,Level 3
42.75,9002.63,52.96,25.0,49.92,67.36,20.86,61.29,6.98,11.14,Level 1
75.39,28265.26,68.49,62.66,76.68,86.15,58.73,17.56,5.37,72.49,Level 2
37.78,5124.39,54.82,36.9,54.35,57.06,19.11,63.88,6.16,19.57,Level 1
42.66,18212.79,76.72,51.49,56.16,69.03,41.23,41.52,6.19,40.92,Level 1
73.49,34989.74,92.57,79.5,70.78,87.76,89.64,23.82,4.26,69.2,Level 3
41.07,24931.18,84.18,73.96,65.33,70.95,59.1,39.87,5.1,63.94,Level 2
91.51,38047.72,97.98,91.19,98.95,84.16,91.08,5.05,3.66,79.08,Level 3
95.0,47384.99,96.74,98.65,82.02,99.0,95.17,2.0,3.82,66.5,Level 3
52.69,29738.65,68.53,65.87,63.96,85.51,45.61,31.79,5.49,59.53,Level 2
65.46,28460.32,68.49,74.34,72.54,79.63,53.77,20.54,4.79,65.3,Level 2
35.14,23661.64,68.08,68.97,63.52,77.79,52.13,29.88,5.01,57.61,Level 2
80.7,33759.26,89.6,69.2,88.58,87.15,89.96,16.46,5.47,81.01,Level 3
58.79,23334.69,76.82,64.6,72.25,79.76,69.46,26.9,5.58,62.38,Level 2
85.24,42024.85,81.33,78.84,77.45,93.78,81.27,11.04,4.67,59.7,Level 3
49.55,19963.25,80.11,57.77,58.64,79.27,51.26,27.9,5.39,43.12,Level 2
45.54,19326.59,56.12,55.33,50.96,76.59,42.56,46.62,6.39,38.6,Level 1
45.59,19643.51,53.24,47.26,52.42,74.95,36.52,38.85,6.93,24.37,Level 1
62.69,30266.81,87.0,71.74,72.81,83.12,64.55,28.73,4.51,70.28,Level 2
73.06,29892.45,91.27,67.24,88.0,89.41,54.71,13.1,4.75,61.77,Level 3
77.07,38238.82,100.0,81.4,85.71,90.9,73.0,16.77,4.83,75.6,Level 3
54.2,20082.07,63.92,53.76,50.13,73.68,50.2,26.15,5.75,52.8,Level 2
81.74,39061.6,92.17,82.58,74.4,94.2,75.49,17.1,4.22,76.84,Level 3
61.37,39928.95,81.6,70.52,71.28,79.53,66.03,20.26,4.26,62.38,Level 3
20.0,17480.29,68.19,46.49,55.97,75.74,55.5,36.52,5.88,44.78,Level 1
66.21,40344.65,82.23,76.68,100.0,90.68,73.91,12.68,3.5,64.17,Level 3
58.51,17829.12,70.42,69.43,68.63,74.15,28.82,34.16,5.42,43.11,Level 1
62.87,24002.54,75.93,71.61,63.17,83.98,74.53,27.85,4.69,54.46,Level 2
71.31,30893.95,98.75,84.0,74.77,87.26,60.47,33.71,5.01,79.27,Level 3
73.1,38435.02,85.9,91.49,92.42,81.96,89.67,2.0,4.66,70.88,Level 3
83.44,37089.78,91.09,80.74,88.74,91.03,98.0,3.57,3.94,71.02,Level 3
70.82,30796.67,79.61,71.86,83.23,92.8,81.21,23.87,4.68,76.71,Level 3
52.56,17953.84,71.54,71.99,53.12,80.12,30.29,43.25,5.66,48.07,Level 1
48.72,24206.81,69.77,72.01,76.24,82.79,52.02,35.17,4.7,48.87,Level 2
68.49,25821.11,73.69,83.68,66.3,81.67,55.27,37.89,5.01,61.59,Level 2
55.97,27467.18,74.99,65.85,76.64,78.94,57.31,27.21,4.75,45.27,Level 2
37.24,29722.75,56.56,39.04,42.93,74.91,56.87,57.62,6.19,21.83,Level 1
81.67,37056.77,93.03,82.8,100.0,88.64,70.76,10.53,3.97,71.42,Level 3
40.03,25030.8,68.67,59.88,56.55,72.4,50.65,50.14,5.54,41.63,Level 1
63.01,13904.36,59.35,55.32,63.11,66.95,29.9,49.23,5.13,32.76,Level 1
42.12,18967.22,72.99,49.28,63.84,72.1,28.65,49.91,4.55,31.56,Level 1
63.37,37398.99,79.15,71.65,94.96,84.47,74.39,3.29,4.7,71.56,Level 3
46.31,19345.6,89.06,68.88,66.07,76.29,38.21,32.79,5.3,34.87,Level 1
61.24,17652.6,71.08,49.2,57.08,77.78,36.38,44.26,4.56,37.61,Level 1
70.07,37221.95,100.0,93.25,100.0,79.66,52.92,13.28,4.93,85.42,Level 3
69.71,22943.17,72.3,53.17,46.59,80.74,35.16,39.7,5.59,44.22,Level 1
57.47,38448.41,77.85,86.66,100.0,91.32,67.16,23.02,4.15,67.85,Level 3
36.82,11640.37,57.73,57.11,57.13,72.82,41.21,61.51,5.35,39.5,Level 1
60.02,31765.97,78.17,92.43,91.98,84.69,78.0,18.81,5.22,67.03,Level 3
61.36,31182.2,88.55,73.08,79.8,91.19,75.88,18.99,4.64,69.71,Level 3
58.72,34904.71,89.99,93.61,90.65,95.32,62.89,11.07,4.08,79.19,Level 2
50.75,23397.76,76.95,76.95,59.81,79.07,64.17,21.14,4.24,51.64,Level 2
64.63,20098.16,71.43,68.72,50.94,72.32,58.48,32.38,5.66,53.56,Level 2
60.01,12194.5,61.47,62.33,65.42,72.37,51.65,55.41,5.26,26.1,Level 1
46.16,22989.23,75.96,75.75,72.75,73.49,68.21,30.15,5.17,46.55,Level 2
62.42,34746.02,97.85,96.96,100.0,92.64,71.29,17.87,3.73,81.87,Level 3
65.6,38348.02,86.36,89.66,77.43,92.25,91.66,7.36,4.44,70.46,Level 3
82.04,30677.11,89.76,74.36,83.83,82.27,72.67,17.11,4.7,77.47,Level 3
47.3,18291.78,62.89,80.33,41.64,81.42,49.18,42.41,4.98,40.1,Level 1
29.51,25724.44,61.9,65.53,60.04,75.72,51.8,34.4,4.89,39.33,Level 2
60.21,37135.32,88.24,81.64,80.89,85.17,75.99,7.99,4.84,64.06,Level 2
73.76,33466.98,79.99,86.28,83.16,89.2,66.08,16.75,5.33,70.51,Level 3
39.42,13575.78,81.46,42.77,51.52,74.58,18.72,54.13,5.25,38.44,Level 1
77.48,40151.92,98.38,100.0,93.32,91.12,80.91,3.48,3.82,86.07,Level 3
36.64,7483.52,55.03,54.31,34.37,67.25,27.03,56.39,5.01,24.39,Level 1
84.75,30887.49,85.84,74.7,75.78,92.86,76.18,25.71,6.1,85.93,Level 3
46.26,18712.41,62.6,66.44,65.76,68.96,49.46,35.29,5.56,32.83,Level 1
45.82,16637.58,69.57,54.7,67.69,56.68,53.09,40.47,5.46,41.07,Level 2
42.76,8786.18,61.8,47.32,41.35,66.14,18.5,51.95,6.62,37.71,Level 1
52.96,35077.35,83.23,86.85,78.08,96.43,68.81,18.13,5.14,68.9,Level 2
63.95,32614.47,85.86,80.02,80.22,85.39,75.65,27.22,3.81,63.48,Level 2
24.51,11157.84,75.14,43.77,54.08,78.16,43.76,75.16,5.83,20.6,Level 1
56.74,35622.81,90.91,85.0,85.99,94.45,73.23,19.87,4.82,80.16,Level 3
67.72,35861.43,71.06,71.0,78.75,84.75,83.16,22.05,4.77,72.72,Level 2
30.04,15585.76,39.7,48.63,32.34,66.13,27.25,70.98,6.2,20.63,Level 1
47.61,17807.99,86.3,64.9,56.3,85.73,43.16,34.88,5.84,52.48,Level 1
65.57,31343.62,83.04,81.62,71.29,96.72,61.23,19.04,3.76,63.22,Level 3
68.07,33604.29,80.65,84.38,96.68,88.32,66.45,17.61,4.51,80.91,Level 3
76.04,29526.12,98.58,78.96,75.57,86.56,80.55,12.59,5.8,65.81,Level 3
38.21,15641.3,58.08,68.6,58.75,72.7,48.98,49.59,5.02,35.79,Level 1
45.38,34739.47,85.77,79.17,73.24,78.08,63.73,24.23,5.03,68.85,Level 2
27.06,8926.79,45.1,61.43,41.85,76.89,22.33,45.01,4.83,37.57,Level 1
50.53,24454.51,69.87,46.25,50.28,73.03,34.12,44.08,6.62,31.03,Level 1
39.88,25545.51,76.97,74.82,74.12,79.07,68.83,44.48,5.09,53.4,Level 3
81.78,34153.95,83.85,88.74,92.29,97.59,90.12,23.24,5.23,85.45,Level 3
44.94,6200.29,46.11,45.88,43.96,73.1,29.37,52.09,5.61,40.31,Level 1
22.34,38259.33,70.4,60.93,65.91,72.98,55.45,42.11,5.76,34.81,Level 1
52.96,22248.72,74.61,60.83,68.64,79.73,60.37,35.99,4.96,38.48,Level 2
73.91,35054.16,89.11,84.47,86.62,93.05,63.02,20.79,3.73,66.39,Level 3
48.34,34238.21,79.52,84.7,67.0,83.01,59.67,21.03,5.01,74.58,Level 3
78.72,34287.11,79.88,76.9,93.77,82.13,55.0,2.0,5.14,82.88,Level 3
67.66,36205.32,80.72,76.04,76.73,93.46,66.98,28.01,4.37,66.71,Level 3
50.69,13524.43,60.26,74.83,49.65,64.53,26.21,59.33,5.18,39.04,Level 1
38.0,11003.27,67.24,35.84,47.24,76.15,49.22,53.87,4.73,22.07,Level 1
37.73,14135.58,73.1,40.84,54.17,62.31,35.64,44.23,5.95,56.94,Level 1
55.44,20773.42,71.55,60.91,59.98,75.14,50.05,38.62,6.34,59.78,Level 2
37.96,25767.41,61.76,55.65,53.93,58.38,21.84,49.84,5.32,36.79,Level 1
53.47,28752.23,79.05,59.15,66.25,82.43,51.62,34.73,6.13,62.82,Level 2
34.81,20582.56,60.11,26.91,49.55,83.48,43.97,54.37,5.11,48.26,Level 1
76.15,35796.33,73.5,84.23,83.15,90.01,66.81,9.41,3.63,82.09,Level 3
64.29,26234.41,75.35,67.7,60.3,83.07,65.15,29.36,5.08,86.28,Level 2
75.46,29117.85,83.45,80.17,80.86,77.76,69.37,42.25,4.37,67.3,Level 3
41.78,15390.33,71.0,47.19,46.7,60.49,27.35,55.99,5.98,30.37,Level 1
70.0,31002.56,79.16,68.24,76.91,92.4,70.35,20.31,5.35,70.09,Level 3
69.43,31724.16,79.29,81.92,72.53,82.56,77.65,26.93,4.9,56.46,Level 2
31.24,11003.17,69.06,61.3,60.2,72.57,28.44,43.18,5.41,35.0,Level 1
53.26,20916.06,70.65,75.01,80.21,69.66,60.68,41.49,5.48,41.09,Level 2
85.99,37508.9,91.14,85.75,81.73,82.26,77.54,32.21,5.34,75.48,Level 3
62.95,15760.75,73.01,64.02,51.36,75.19,31.82,27.12,5.24,42.79,Level 1
60.4,30945.47,88.56,84.83,71.53,78.73,87.92,21.06,4.73,57.27,Level 3
61.76,19744.38,44.07,50.06,53.86,73.47,46.39,42.63,5.75,37.87,Level 1
51.55,23386.7,59.92,68.43,62.45,70.81,40.36,52.0,5.25,33.34,Level 1
35.78,13540.42,55.96,31.54,38.26,70.06,26.23,59.91,6.21,20.44,Level 1
43.99,15251.21,74.59,58.05,52.36,76.83,28.5,50.1,5.86,52.18,Level 1
77.99,28842.13,82.93,83.14,86.39,87.35,54.16,30.93,4.51,51.16,Level 3
61.51,21308.42,61.05,56.9,48.21,80.77,43.17,35.91,4.86,28.98,Level 1
40.21,20266.38,71.1,73.93,58.93,72.02,47.66,51.96,5.27,40.05,Level 1
68.39,29308.94,68.82,72.98,84.4,89.83,63.68,11.18,4.18,55.66,Level 3
66.81,23873.37,83.15,83.71,58.12,80.12,61.41,25.76,5.28,75.13,Level 2
67.42,33274.2,79.58,89.48,76.49,91.23,90.04,8.97,4.84,77.05,Level 3
20.0,16594.35,38.54,45.56,54.85,63.93,18.51,51.21,6.26,28.29,Level 1
29.09,9207.29,51.31,55.99,48.16,63.46,28.63,52.44,4.72,25.86,Level 1
46.06,30935.47,78.82,75.03,68.43,83.63,53.03,39.11,4.92,55.91,Level 2
57.53,19766.35,76.68,60.87,59.45,87.66,63.23,38.92,5.17,32.57,Level 2
61.11,22386.11,83.28,80.74,59.55,75.65,45.52,28.76,5.11,54.22,Level 2
77.12,34874.04,88.35,69.46,78.07,84.4,63.77,13.63,5.46,67.04,Level 3
70.31,26648.68,81.61,65.31,74.69,85.01,39.59,23.93,4.72,58.18,Level 2
55.98,20374.78,93.34,60.82,59.29,76.31,46.19,36.23,6.05,43.6,Level 2
66.43,30179.8,73.2,70.0,69.19,77.65,66.9,13.51,4.98,62.61,Level 2
75.11,39540.63,87.12,86.96,100.0,85.67,88.39,9.16,4.26,86.83,Level 3
81.34,43662.55,94.78,81.52,100.0,99.0,98.0,13.71,3.37,89.38,Level 3
65.34,36489.84,96.72,84.45,94.39,88.45,92.34,2.0,3.62,80.25,Level 3
72.75,28838.98,55.38,61.61,75.35,80.01,51.18,21.17,6.41,62.22,Level 2
67.15,34625.82,92.0,85.76,85.69,84.69,70.68,4.6,4.89,76.12,Level 3
62.63,19620.75,73.94,69.34,67.36,75.12,76.22,31.88,5.21,58.19,Level 2
49.84,17331.14,63.93,41.28,55.0,76.46,51.01,56.53,5.51,52.82,Level 1
65.33,51160.64,84.01,94.81,88.21,89.35,63.94,27.63,6.01,67.72,Level 2
42.54,8461.63,55.39,51.85,40.02,67.3,30.75,43.23,5.63,34.58,Level 1
71.46,30752.74,85.72,86.16,65.42,83.58,45.4,15.78,3.8,62.05,Level 3
75.09,38059.33,100.0,100.0,89.8,99.0,87.74,4.04,3.92,89.39,Level 3
60.46,27158.43,78.62,54.09,70.17,86.21,54.55,36.25,5.25,53.62,Level 2
65.51,34983.02,86.75,66.68,87.36,84.82,79.95,20.38,4.42,79.11,Level 3
44.72,17697.61,77.46,56.32,66.25,69.22,39.76,38.5,4.35,51.98,Level 1
59.82,21695.08,80.44,66.19,68.66,78.75,52.52,36.79,6.57,30.45,Level 2
60.48,20841.39,69.85,66.79,58.15,73.03,40.42,34.57,5.44,45.91,Level 2
65.03,25941.98,64.27,77.91,60.15,72.27,61.93,39.02,5.75,36.61,Level 2
23.94,8418.23,61.01,44.23,34.81,68.16,27.24,64.11,6.1,30.25,Level 1
58.61,32443.52,90.01,99.34,94.19,74.99,91.3,18.29,4.06,64.49,Level 3
43.36,15586.8,68.35,54.78,54.92,82.89,30.93,37.35,6.38,47.23,Level 2
68.25,28778.86,72.17,64.88,63.18,80.18,70.2,10.93,4.21,78.38,Level 2
71.94,50920.26,94.14,84.65,85.8,99.0,84.46,6.56,5.35,89.93,Level 3
55.67,20177.06,79.68,80.87,81.79,87.9,50.14,32.54,5.16,35.71,Level 2
47.37,18827.72,65.93,68.02,51.69,60.4,32.82,54.92,5.44,69.71,Level 1
55.91,25288.02,81.78,53.3,63.7,72.75,46.79,29.12,6.01,59.31,Level 2
67.4,39760.49,86.04,100.0,84.26,97.92,98.0,7.27,3.57,83.74,Level 2
67.24,29664.03,80.88,68.25,71.52,86.1,82.12,18.94,4.52,78.37,Level 3
67.19,34927.23,87.2,74.03,83.63,87.83,92.06,4.9,3.94,71.7,Level 3
55.29,6140.74,63.63,44.85,54.4,61.14,33.46,58.59,6.53,26.61,Level 1
55.29,27066.21,82.3,88.9,93.91,84.34,53.63,38.54,4.04,58.78,Level 2
60.54,27999.09,91.53,85.38,74.42,92.4,62.19,11.89,4.27,59.3,Level 3
79.72,38742.39,100.0,90.69,100.0,94.72,72.49,24.92,4.45,74.92,Level 3
68.02,33911.76,85.1,76.93,82.71,91.75,70.66,18.58,4.05,46.45,Level 3
48.68,15196.48,46.73,71.96,47.01,64.18,34.27,50.16,6.79,45.33,Level 1
44.76,12803.63,73.11,62.2,61.24,63.64,51.04,66.6,6.47,50.8,Level 1
29.54,18373.16,71.77,45.1,49.35,64.2,51.12,48.59,4.0,25.22,Level 1
59.88,18365.58,74.88,52.89,60.66,80.22,49.38,32.62,5.22,55.39,Level 2
62.72,36234.56,91.59,80.17,78.41,90.74,61.35,27.68,3.96,59.44,Level 3
60.79,38391.72,74.24,72.59,62.21,81.65,44.88,50.88,4.93,65.38,Level 2
86.25,34414.98,92.77,80.04,84.63,95.83,65.85,14.87,4.61,80.27,Level 3
38.45,22595.48,71.37,67.89,63.29,68.98,53.34,40.88,6.62,28.23,Level 1
40.74,12003.63,52.65,42.99,47.09,65.49,10.0,53.29,6.32,17.2,Level 1
56.22,27978.23,84.02,65.83,84.51,85.33,58.4,24.06,5.54,74.18,Level 3
78.02,37257.15,100.0,70.19,95.14,95.18,58.82,9.29,3.89,61.49,Level 3
30.81,18199.59,69.71,58.38,48.5,78.25,43.24,43.39,5.79,25.19,Level 1
75.16,28267.14,94.2,62.84,67.58,79.69,73.28,28.51,5.16,79.17,Level 2
62.9,24972.71,74.53,74.72,73.62,80.99,58.43,34.02,4.77,61.5,Level 2
69.39,23331.19,74.97,68.48,70.84,75.57,63.68,34.7,4.93,48.7,Level 2
40.77,22579.65,67.83,61.01,71.47,69.61,37.4,36.84,5.28,59.84,Level 1
38.47,26653.4,73.76,63.08,51.67,73.82,61.8,20.22,5.32,48.05,Level 2
67.91,23397.07,68.84,66.03,49.73,87.4,47.29,38.43,5.21,55.62,Level 2
44.8,18387.42,77.84,64.46,60.13,75.23,41.79,45.03,5.09,45.95,Level 2
50.44,19400.63,81.17,65.43,77.04,90.28,48.52,47.02,6.05,58.9,Level 2
53.95,17887.0,67.24,60.77,55.84,72.35,29.01,35.62,5.15,43.12,Level 1
51.05,19649.19,72.12,62.8,63.71,83.31,63.52,44.83,5.11,57.69,Level 2
79.33,34824.74,79.19,84.14,84.21,87.19,81.54,14.63,3.72,58.32,Level 3
66.19,36811.98,75.97,79.16,93.34,81.83,82.81,41.47,4.16,51.29,Level 3
34.3,21749.64,50.73,52.25,29.24,68.65,23.18,46.8,5.99,29.19,Level 1
45.14,13970.52,70.23,45.6,61.88,67.97,42.32,47.17,5.53,37.73,Level 1
51.98,18256.11,64.64,74.6,71.76,80.99,64.59,43.57,4.96,50.48,Level 2
54.56,18768.3,71.23,61.12,61.24,79.52,39.94,31.84,4.86,55.89,Level 2
28.29,18607.57,74.11,55.91,54.8,63.45,33.22,43.29,6.22,42.36,Level 1
60.01,23228.18,70.25,61.5,73.27,89.26,57.68,43.43,4.86,54.89,Level 2
70.84,30584.41,78.47,80.63,69.71,89.13,65.89,31.05,4.71,70.07,Level 3
92.77,36744.21,100.0,97.46,88.93,91.89,98.0,5.93,3.93,91.53,Level 3
52.28,28525.02,91.97,79.85,72.74,94.55,72.47,19.7,5.12,72.53,Level 3
82.03,39019.29,96.37,93.85,89.27,88.66,72.84,12.01,4.53,89.95,Level 3
46.37,15022.36,62.22,40.25,40.48,66.31,37.45,39.26,5.27,34.39,Level 1
39.39,14029.41,48.75,58.69,48.75,66.84,32.52,42.02,5.15,41.93,Level 1
64.46,26421.0,71.55,78.76,76.6,82.63,75.26,31.7,4.31,63.04,Level 2
62.35,42487.16,100.0,95.21,89.93,92.3,78.99,13.85,4.53,86.14,Level 3
22.53,11053.1,71.91,55.57,56.49,66.86,47.15,46.09,5.79,20.65,Level 1
48.5,18184.92,75.79,56.26,52.81,79.66,50.2,53.55,4.8,46.7,Level 1
67.05,27615.02,76.25,77.46,73.25,96.52,42.72,31.08,4.41,66.02,Level 3
59.72,29084.78,78.53,70.15,62.75,85.21,82.56,24.94,4.35,67.29,Level 3
83.66,40653.13,91.0,89.23,85.02,96.71,89.33,12.76,4.01,92.08,Level 3
77.39,33511.89,88.36,92.37,70.76,84.18,76.76,2.0,4.24,75.2,Level 3
24.11,10434.43,51.92,41.64,50.78,62.95,54.33,68.98,5.53,33.2,Level 1
84.23,45643.8,100.0,100.0,94.31,92.0,98.0,5.01,3.77,72.94,Level 3
67.36,38747.36,86.77,92.86,98.51,99.0,92.74,16.68,4.23,83.89,Level 3
56.94,29992.68,62.99,53.97,57.93,70.29,20.14,38.06,6.6,34.9,Level 1
66.7,29976.08,88.82,70.13,56.99,95.02,67.48,19.78,3.88,54.49,Level 3
62.68,19062.26,67.44,62.12,60.99,80.9,61.21,47.47,5.47,67.58,Level 2
66.72,33046.4,91.72,66.9,90.92,80.6,79.25,28.31,4.01,90.35,Level 3
35.5,33728.09,86.3,66.68,49.51,89.36,78.9,13.65,5.27,55.25,Level 2
74.09,24937.26,74.85,76.32,82.56,78.06,52.93,32.22,5.79,59.25,Level 2
67.78,26094.11,85.67,66.19,70.81,74.87,62.58,28.18,3.73,54.62,Level 2
75.56,23234.09,72.06,65.94,64.14,84.56,48.67,54.53,5.34,59.85,Level 2
59.73,24526.83,77.2,67.24,61.05,82.59,31.96,42.61,4.81,50.12,Level 2
